block_datetime,slot,block_number,block_hash,value,base_fee_per_gas,gas_limit,gas_used,num_tx,builder_label,builder_pubkey,relay,bid_timestamp_ms,slot_time_ms,proposer_pubkey,proposer_mev_recipient,optimistic_submission,builder_fee_recipient,block_timestamp,extra_data,payload_delivered
2024-06-04 17:38:11,9224889,20019999,0xbf91106b536d23b404231a77a93fcf52ef9b55a57527677ec55b751bf2a86699,30598755572052658,15973148151.0,30000000.0,11004678.0,150.0,beaverbuild.org,0x8d2b4626cd64c2889ff4822c6bdb25161bbd8a3976f087086403c7ecf185eee4f2f71006c2a0dc8ade3bf0d8552236f4,bloxroute_max_profit,1717522691394.0,12394.0,0xa7e503ba6d188a65faf17fb082701a004f2c99be4fde9a83a29607350b498f3bf20ad1093f002f14a73ab11e76b24854,0xF0bAfD58E23726785A1681e1DEa0da15cB038C61,,,1717522691.0,0x6265617665726275696c642e6f7267,True
2024-06-04 17:37:59,9224888,20019998,0x25301ccce1a75c89952f86b0ff2eaac9f31774cf36fe3b181c2b6e98a774b41e,26446422235791323,15601815580.0,30000000.0,17856072.0,174.0,Titan (titanbuilder.xyz),0xa32aadb23e45595fe4981114a8230128443fd5407d557dc0c158ab93bc2b88939b5a87a84b6863b0d04a4b5a2447f847,bloxroute_regulated,1717522679780.0,12780.0,0x8c488f243ea573a1e5f8c21ac104168b89f0a0bcd062bc6b7259ce70b605bd7cdfe2c703a896c9ebd7c09ecb76136185,0x388C818CA8B9251b393131C08a736A67ccB19297,,,1717522679.0,0x546974616e2028746974616e6275696c6465722e78797a29,True
2024-06-04 17:37:47,9224887,20019997,0x3521f501fc5d8da00ddf3aa7e168050ba8fff84328bc854fa5afe4c94ad82bd4,74997032867922676,15126295278.0,30000000.0,18772400.0,167.0,jetbldr.xyz,0xb0a3a5e8e0330698176d35fda999f522d992225975592afff5c02b3faaba13a497cafdf0519d8b578236d92adbf401f7,ultrasound,1717522667965.0,12965.0,0x94c7fb2426b08607e6ed7595ded6b868cb208323ef2594eda85563b03e36ad926ef38810b8164a471c4c5efe2131231e,0xfFEE087852cb4898e6c3532E776e68BC68b1143B,True,,1717522667.0,0x6a6574626c64722e78797a,True
2024-06-04 17:37:35,9224886,20019996,0xf2c3e9d6e7e4085ceceb5895687d407ac566b6976b1e0bab98367ce20d516276,32221030675867853,15765863409.0,30000000.0,10132003.0,126.0,beaverbuild.org,0x93582c97ac58670ba118aae52cf6355d8c680a2a538bf77c90873e3fe7ddc0a6dd231e2e2ea06bdc07e9b160883512a3,bloxroute_max_profit,1717522655649.0,12649.0,0x937e0f4da3c032c9deeae517a296e5adaf011638ba88aeadb7d5717de77bf0ef16bd35a008e8ec59c3a0cd83ce1fe8f8,0x60ABB0579a90a0C6a63d3aac5b20f8383abfEE9C,,,1717522655.0,0x6265617665726275696c642e6f7267,True
2024-06-04 17:37:23,9224885,20019995,0x21f5e7d4e89f5c4a0e1376ef76f20aeb199d8a02e3e01f727f1b1768770bce16,26875334724672579,16223860141.0,30000000.0,11612421.0,130.0,beaverbuild.org,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,flashbots,1717522642942.0,11942.0,0xacb838d438632bb2422228faa16178c549fea4f817c8fa533bd1c5a30c839e32de5efdac76d133944b83b199acaff63f,0xD0D2AbA6b826429499c6CDD59157784c9537722a,False,,1717522643.0,0x6265617665726275696c642e6f7267,True
2024-06-04 17:37:11,9224884,20019994,0x0621d461b0d0f3889122e5f87f3170fe97b321a4f152b71c97309dff94b8aae3,79821009563575261,15692687263.0,30000000.0,19061812.0,223.0,@rsyncbuilder,0x978a35c39c41aadbe35ea29712bccffb117cc6ebcad4d86ea463d712af1dc80131d0c650dc29ba29ef27c881f43bd587,bloxroute_regulated,1717522632346.0,13346.0,0xb45f48377961223c850353a5a7a7a145f0f40af6f25f11e091dab576aab42b1f42c2d84cfa834cecabce7c30d48a2b93,0xeBec795c9c8bBD61FFc14A6662944748F299cAcf,,,1717522631.0,0x407273796e636275696c646572,True
2024-06-04 17:36:47,9224882,20019992,0x90904ce099161d013d0791945687f76f69a142eaf6b610db6e2f70be0c9b2c06,75123756967881973,16602568328.0,30000000.0,11418680.0,122.0,beaverbuild.org,0xacb407cfb554255db2fbbb320f79bb7f1cc1e8d2dc43324e8e31baafd0836340d49c43eebc51828f53bf6d364f9ac207,flashbots,1717522606941.0,11941.0,0x872ce9ed2258c07afc128424dd70e25c3032a5a23e4bd2f7b7abb09b4879e3c35525eaac261ed05587d7adcac4a1b6ba,0x4675C7e5BaAFBFFbca748158bEcBA61ef3b0a263,False,,1717522607.0,0x6265617665726275696c642e6f7267,True
2024-06-04 17:36:11,9224879,20019989,0x4f7a9fa9f888fa1c6c9f2e42e738958f0439ce4d7b01b873b056beb050c63a48,,16665273094.0,,5666547.0,,geth,,,,,,,,,1717522571.0,0xd883010e03846765746888676f312e32322e33856c696e7578,True
2024-06-04 17:35:59,9224878,20019988,0xaffd7f1574c3b553d5c63d8d8e06e59db9b290ac3bd8dc7844932f39d734ee73,41832066034507773,16665868759.0,30000000.0,14995711.0,152.0,beaverbuild.org,0xb211df498dfd8b1956252efa4caa81c351a4dde4a50237b3b62034df1881067aede88886053247450ea41b60cc96df7c,agnostic,1717522559695.0,12695.0,0x8c9d05a93f6aa5912f5246980a70da6452bc35472e3e7e43b1d66eba6f39a0abf8f5c229b70eae8fd44c704d6ef07b8e,0xa27CEF8aF2B6575903b676e5644657FAe96F491F,True,,1717522559.0,0x6265617665726275696c642e6f7267,True
2024-06-04 17:35:35,9224876,20019986,0x1ae58670aa8b5a1dbff30f9cc0cdd63b4f5207811c7878255abab49c5eef3564,56024760970368401,16914275511.0,30000000.0,14314529.0,179.0,Titan (titanbuilder.xyz),0xae2ffc6986c9a368c5ad2d51f86db2031d780f6ac9b2348044dea4e3a75808b566c935099de8b1a1609db322f2110e7a,ultrasound,1717522534933.0,11933.0,0x89258120202ac7f72be17e50d92b1ea6e63e785b479e44dd9a2bcd379de346971375b8645d502ebfb71a257bf31fb690,0x6d2e03b7EfFEae98BD302A9F836D0d6Ab0002766,True,,1717522535.0,0x546974616e2028746974616e6275696c6465722e78797a29,True
